Gene,start,end,length
N_ydjA,8286935,8295077,4071
G_ydjA,8295077,8296175,549
N_rnb_4~~~rnb~~~rnb_3~~~rnb_2~~~rnb_1,8296175,8297043,434
G_rnb_4~~~rnb~~~rnb_3~~~rnb_2~~~rnb_1,8297043,8300907,1932
N_fryA_1~~~fryA_3~~~fryA_2~~~fryA_4,8300907,8311449,5271
G_fryA_1~~~fryA_3~~~fryA_2~~~fryA_4,8311449,8316447,2499
N_cutD_2~~~cutD~~~cutD_1,8316447,8318419,986
G_cutD_2~~~cutD~~~cutD_1,8318419,8320213,897
N_ybiV~~~ybiV_2~~~ybiV_1,8320213,8320509,148
G_ybiV~~~ybiV_2~~~ybiV_1,8320509,8322297,894
N_pflD_2~~~pflD_1~~~cutC_2~~~pflD~~~cutC_1,8322297,8322309,6
G_pflD_2~~~pflD_1~~~cutC_2~~~pflD~~~cutC_1,8322309,8327205,2448
N_cysG~~~cysG_1~~~cysG_2,8327205,8327245,20
G_cysG~~~cysG_1~~~cysG_2,8327245,8329987,1371
N_hrpB~~~hrpB_2~~~hrpB_1,8329987,8369981,19997
G_hrpB~~~hrpB_2~~~hrpB_1,8369981,8374835,2427
N_pepE_1~~~pepE~~~pepE_2,8374835,8377345,1255
G_pepE_1~~~pepE~~~pepE_2,8377345,8378719,687
N_hemE_2~~~hemE_1~~~hemE,8378719,8378801,41
G_hemE_2~~~hemE_1~~~hemE,8378801,8380925,1062
N_prfC_2~~~prfC_1~~~prfC,8380925,8391847,5461
G_prfC_2~~~prfC_1~~~prfC,8391847,8395075,1614
N_mntP~~~mntP_1~~~mntP_2,8395075,8395935,430
G_mntP~~~mntP_1~~~mntP_2,8395935,8397063,564
N_artM_2~~~artM_1~~~artM_3,8397063,8397207,72
G_artM_2~~~artM_1~~~artM_3,8397207,8398623,708
N_yvgN_2~~~yvgN_1~~~yvgN~~~yhdN,8398623,8398805,91
G_yvgN_2~~~yvgN_1~~~yvgN~~~yhdN,8398805,8400509,852
N_group_139,8400509,8405221,2356
G_group_139,8405221,8405761,270
N_phoA~~~phoA_3~~~phoA_2~~~phoA_1,8405761,8405965,102
G_phoA~~~phoA_3~~~phoA_2~~~phoA_1,8405965,8408791,1413
N_sseA~~~sseA_2~~~sseA_1,8408791,8487747,39478
G_sseA~~~sseA_2~~~sseA_1,8487747,8489433,843
N_pyrF~~~pyrF_1~~~pyrF_2,8489433,8489703,135
G_pyrF~~~pyrF_1~~~pyrF_2,8489703,8491293,795
N_ubiI~~~ubiI_2~~~ubiI_1,8491293,8491585,146
G_ubiI~~~ubiI_2~~~ubiI_1,8491585,8493985,1200
N_ubiH~~~ubiH_1~~~ubiH_2,8493985,8494039,27
G_ubiH~~~ubiH_1~~~ubiH_2,8494039,8496391,1176
N_flgE~~~flgE_2~~~flgE_1,8496391,8496443,26
G_flgE~~~flgE_2~~~flgE_1,8496443,8498855,1206
N_dsbD~~~dsbD_2~~~dsbD_1,8498855,8499717,431
G_dsbD~~~dsbD_2~~~dsbD_1,8499717,8503737,2010
N_hemF,8503737,8503745,4
G_hemF,8503745,8505545,900
N_ypeA,8505545,8509531,1993
G_ypeA,8509531,8510377,423
N_malP_1~~~malP_2~~~malP_3~~~malP_4,8510377,8519011,4317
G_malP_1~~~malP_2~~~malP_3~~~malP_4,8519011,8523793,2391
N_yebZ~~~yebZ_1~~~yebZ_2,8523793,8523801,4
G_yebZ~~~yebZ_1~~~yebZ_2,8523801,8525541,870
N_phoR~~~phoR_2~~~phoR_1,8525541,8525659,59
G_phoR~~~phoR_2~~~phoR_1,8525659,8528245,1293
N_sbcD~~~sbcD_1~~~sbcD_2~~~cpdA_1,8528245,8549443,10599
G_sbcD~~~sbcD_1~~~sbcD_2~~~cpdA_1,8549443,8551843,1200
N_rlmB_1~~~rlmB_2~~~rlmB,8551843,8552207,182
G_rlmB_1~~~rlmB_2~~~rlmB,8552207,8553665,729
N_yciH,8553665,8553805,70
G_yciH,8553805,8554543,369
G_cdsA,8554543,8556037,747
N_cdh~~~cdh_1~~~cdh_2,8556037,8556253,108
G_cdh~~~cdh_1~~~cdh_2,8556253,8557759,753
N_group_89,8557759,8560787,1514
G_group_89,8560787,8561981,597
N_norR_2~~~norR_1~~~norR_3,8561981,8568551,3285
G_norR_2~~~norR_1~~~norR_3,8568551,8571575,1512
N_gutQ_2~~~gutQ_1~~~gutQ,8571575,8571839,132
G_gutQ_2~~~gutQ_1~~~gutQ,8571839,8573765,963
N_group_82,8573765,8574175,205
G_group_82,8574175,8576731,1278
N_pdxB~~~pdxB_2~~~pdxB_1,8576731,8578915,1092
G_pdxB~~~pdxB_2~~~pdxB_1,8578915,8581225,1155
N_kdgT~~~kdgT_2~~~kdgT_1,8581225,8581833,304
G_kdgT~~~kdgT_2~~~kdgT_1,8581833,8583795,981
G_prfB_2~~~prfB~~~lysS~~~prfB_1,8583795,8586825,1515
N_csdA~~~csdA_2~~~csdA_1,8586825,8594031,3603
G_csdA~~~csdA_2~~~csdA_1,8594031,8596437,1203
N_xseA~~~xseA_1~~~xseA_2,8596437,8620375,11969
G_xseA~~~xseA_1~~~xseA_2,8620375,8623129,1377
N_guaA~~~guaA_1~~~guaA_2,8623129,8623269,70
G_guaA~~~guaA_1~~~guaA_2,8623269,8626419,1575
G_hypE~~~hypE_1~~~hypE_2,8626419,8628495,1038
N_ydgK,8628495,8628669,87
G_ydgK,8628669,8629545,438
N_mscM~~~mscM_2~~~mscM_1,8629545,8629591,23
G_mscM~~~mscM_2~~~mscM_1,8629591,8636233,3321
N_aroL~~~aroL_2~~~aroL_1,8636233,8636601,184
G_aroL~~~aroL_2~~~aroL_1,8636601,8637645,522
N_sdaB_2~~~sdaB_1~~~sdaB,8637645,8637763,59
G_sdaB_2~~~sdaB_1~~~sdaB,8637763,8640493,1365
N_fucO_2~~~fucO_1~~~fucO,8640493,8640551,29
G_fucO_2~~~fucO_1~~~fucO,8640551,8642849,1149
N_mglB_2~~~mglB_1~~~mglB,8642849,8644015,583
G_mglB_2~~~mglB_1~~~mglB,8644015,8646007,996
N_tyrB~~~tyrB_2~~~tyrB_1,8646007,8646515,254
G_tyrB~~~tyrB_2~~~tyrB_1,8646515,8648897,1191
N_thiQ~~~btuD_4,8648897,8652313,1708
G_thiQ~~~btuD_4,8652313,8655529,1608
N_opgE~~~opgE_1~~~opgE_2~~~opgE_3,8655529,8659993,2232
G_opgE~~~opgE_1~~~opgE_2~~~opgE_3,8659993,8663155,1581
N_acuI~~~acuI_1~~~acuI_2,8663155,8689423,13134
G_acuI~~~acuI_1~~~acuI_2,8689423,8691367,972
N_yhgF_1~~~yhgF_2~~~yhgF,8691367,8691611,122
G_yhgF_1~~~yhgF_2~~~yhgF,8691611,8696249,2319
N_thpR~~~thpR_2,8696249,8724173,13962
G_thpR~~~thpR_2,8724173,8725229,528
N_gltX_1~~~gltX_3~~~gltX_2~~~gltX,8725229,8728357,1564
G_gltX_1~~~gltX_3~~~gltX_2~~~gltX,8728357,8731183,1413
N_creC~~~creC_1~~~creC_2,8731183,8731743,280
G_creC~~~creC_1~~~creC_2,8731743,8734587,1422
N_cysD_2~~~cysD_1~~~cysD,8734587,8745731,5572
G_cysD_2~~~cysD_1~~~cysD,8745731,8747633,951
N_flgB_2~~~flgB~~~flgB_1,8747633,8750931,1649
G_flgB_2~~~flgB~~~flgB_1,8750931,8751759,414
N_yajO~~~yajO_1~~~yajO_2,8751759,8752377,309
G_yajO~~~yajO_1~~~yajO_2,8752377,8754363,993
N_iclR_1~~~iclR~~~iclR_2~~~iclR_3,8754363,8767781,6709
G_iclR_1~~~iclR~~~iclR_2~~~iclR_3,8767781,8769467,843
N_aceK_1~~~aceK_2~~~aceK~~~aceK_3,8769467,8770317,425
G_aceK_1~~~aceK_2~~~aceK~~~aceK_3,8770317,8773827,1755
N_aceA~~~aceA_2~~~aceA_1,8773827,8773889,31
G_aceA~~~aceA_2~~~aceA_1,8773889,8776493,1302
N_galS~~~galS_1~~~galS_2,8776493,8777147,327
G_galS~~~galS_1~~~galS_2,8777147,8779265,1059
N_yeiG_2~~~yeiG~~~yeiG_1,8779265,8794169,7452
G_yeiG_2~~~yeiG~~~yeiG_1,8794169,8795837,834
N_group_8,8795837,8796409,286
G_group_8,8796409,8798527,1059
N_tktB_2~~~tktB_1~~~tktB,8798527,8798569,21
G_tktB_2~~~tktB_1~~~tktB,8798569,8802571,2001
N_dapA~~~dapA_1~~~dapA_2,8802571,8835527,16478
G_dapA~~~dapA_1~~~dapA_2,8835527,8837279,876
N_argD~~~argD_2~~~argD_1,8837279,8837453,87
G_argD~~~argD_2~~~argD_1,8837453,8839895,1221
G_fadJ~~~fadJ_2~~~fadJ_1,8839895,8844179,2142
N_fdhD_1~~~fdhD_2~~~fdhD,8844179,8859121,7471
G_fdhD_1~~~fdhD_2~~~fdhD,8859121,8860801,840
N_icd_2~~~icd_1~~~icd_3~~~icd,8860801,8880315,9757
G_icd_2~~~icd_1~~~icd_3~~~icd,8880315,8882811,1248
N_oppF_1~~~btuD_2~~~oppF_2,8882811,8882837,13
G_oppF_1~~~btuD_2~~~oppF_2,8882837,8884841,1002
N_group_35171,8884841,8888051,1605
G_group_35171,8888051,8888753,351
N_roxA~~~roxA_2~~~roxA_1,8888753,8893839,2543
G_roxA~~~roxA_2~~~roxA_1,8893839,8896077,1119
N_gltC_2~~~gltC_3~~~oxyR_2~~~cynR_4~~~gltC_1~~~oxyR_4~~~gltC~~~hdfR_3,8896077,8899503,1713
G_gltC_2~~~gltC_3~~~oxyR_2~~~cynR_4~~~gltC_1~~~oxyR_4~~~gltC~~~hdfR_3,8899503,8901453,975
N_blc_1~~~blc~~~blc_2,8901453,8904193,1370
G_blc_1~~~blc~~~blc_2,8904193,8905261,534
N_group_35086,8905261,8911185,2962
G_group_35086,8911185,8914629,1722
N_rlmG~~~rlmG_2~~~rlmG_1,8914629,8925715,5543
G_rlmG~~~rlmG_2~~~rlmG_1,8925715,8927983,1134
N_group_35073,8927983,8928139,78
G_group_35073,8928139,8929519,690
N_group_35017,8929519,8958605,14543
G_group_35017,8958605,8959289,342
N_elaA~~~elaA_1~~~elaA_2,8959289,8974997,7854
G_elaA~~~elaA_1~~~elaA_2,8974997,8975915,459
G_fieF_2~~~fieF~~~fieF_1,8975915,8979149,1617
N_kdpB~~~kdpB_2~~~kdpB_1,8979149,8979197,24
G_kdpB~~~kdpB_2~~~kdpB_1,8979197,8983289,2046
N_smg,8983289,8996289,6500
G_smg,8996289,8997231,471
N_tsaC,8997231,8997243,6
G_tsaC,8997243,8998383,570
N_group_34967,8998383,8999639,628
G_group_34967,8999639,9000905,633
N_ccmA,9000905,9000945,20
G_ccmA,9000945,9002187,621
N_nikA_2,9002187,9002847,330
G_nikA_2,9002847,9006663,1908
N_murP_1~~~murP_2~~~murP,9006663,9006671,4
G_murP_1~~~murP_2~~~murP,9006671,9009515,1422
N_dgcN_2~~~dgcN_1~~~dgcN,9009515,9012511,1498
G_dgcN_2~~~dgcN_1~~~dgcN,9012511,9015061,1275
N_phoU_1~~~phoU_2~~~phoU,9015061,9015093,16
G_phoU_1~~~phoU_2~~~phoU,9015093,9016545,726
N_glcR~~~ydjF_2~~~glcR_1~~~ydjF_1~~~ydjF,9016545,9019609,1532
G_glcR~~~ydjF_2~~~glcR_1~~~ydjF_1~~~ydjF,9019609,9021067,729
N_rsmB~~~rsmB_1~~~rsmB_2,9021067,9021173,53
G_rsmB~~~rsmB_1~~~rsmB_2,9021173,9023747,1287
N_yiaC~~~yiaC_1~~~yiaC_2,9023747,9065607,20930
G_yiaC~~~yiaC_1~~~yiaC_2,9065607,9066483,438
N_yhhX_2~~~yhhX_1~~~yhhX,9066483,9073621,3569
G_yhhX_2~~~yhhX_1~~~yhhX,9073621,9075691,1035
N_aaaT~~~aaaT_2~~~aaaT_1,9075691,9093901,9105
G_aaaT~~~aaaT_2~~~aaaT_1,9093901,9094873,486
N_gntK~~~gntK_3~~~gntK_1~~~purR_3~~~gntK_2,9094873,9097591,1359
G_gntK~~~gntK_3~~~gntK_1~~~purR_3~~~gntK_2,9097591,9100537,1473
N_yhhW~~~yhhW_1~~~yhhW_2,9100537,9100807,135
G_yhhW~~~yhhW_1~~~yhhW_2,9100807,9102193,693
N_oleD_1~~~oleD_2~~~auaH~~~oleD,9102193,9102393,100
G_oleD_1~~~oleD_2~~~auaH~~~oleD,9102393,9104487,1047
N_metG_1~~~metG~~~metG_2~~~metG_3,9104487,9119273,7393
G_metG_1~~~metG~~~metG_2~~~metG_3,9119273,9123467,2097
N_group_34821,9123467,9128565,2549
G_group_34821,9128565,9129327,381
G_rnhB~~~rnhB_2~~~rnhB_1,9129327,9130515,594
N_amtB_1~~~amtB_2~~~amtB,9130515,9130577,31
G_amtB_1~~~amtB_2~~~amtB,9130577,9133145,1284
N_ugpA_2~~~ugpA_1~~~ugpA,9133145,9133519,187
G_ugpA_2~~~ugpA_1~~~ugpA,9133519,9135289,885
N_argP_2~~~yofA~~~cmpR~~~gltR_1~~~gltR_2~~~argP_1~~~yofA_2~~~gltC_1~~~cmpR_2,9135289,9141963,3337
G_argP_2~~~yofA~~~cmpR~~~gltR_1~~~gltR_2~~~argP_1~~~yofA_2~~~gltC_1~~~cmpR_2,9141963,9143721,879
N_ppiB,9143721,9147067,1673
G_ppiB,9147067,9148051,492
N_chuR_2~~~chuR_1~~~chuR_3~~~atsB~~~chuR,9148051,9149493,721
G_chuR_2~~~chuR_1~~~chuR_3~~~atsB~~~chuR,9149493,9151965,1236
N_nuoN_1~~~nuoN~~~nuoN_2~~~ndhB_2,9151965,9152053,44
G_nuoN_1~~~nuoN~~~nuoN_2~~~ndhB_2,9152053,9154963,1455
N_exuT_2~~~exuT~~~exuT_1~~~exuT_3,9154963,9163043,4040
G_exuT_2~~~exuT~~~exuT_1~~~exuT_3,9163043,9165635,1296
N_glpD~~~glpD_1~~~glpD_2~~~glpD_3,9165635,9169933,2149
G_glpD~~~glpD_1~~~glpD_2~~~glpD_3,9169933,9172963,1515
N_group_34747,9172963,9178869,2953
G_group_34747,9178869,9179427,279
G_yejE~~~yejE_2~~~yejE_1,9179427,9181527,1050
N_ndhI_2~~~ndhI~~~ndhI_1,9181527,9181547,10
G_ndhI_2~~~ndhI~~~ndhI_1,9181547,9182627,540
N_ivy~~~ivy_1,9182627,9206341,11857
G_ivy~~~ivy_1,9206341,9207283,471
N_ygiN_1~~~ygiN~~~ygiN_2,9207283,9207347,32
G_ygiN_1~~~ygiN~~~ygiN_2,9207347,9207971,312
N_hxpA_1~~~hxpA~~~hxpA_2,9207971,9207993,11
G_hxpA_1~~~hxpA~~~hxpA_2,9207993,9209289,648
N_ybdK~~~ybdK_2~~~ybdK_1,9209289,9221287,5999
G_ybdK~~~ybdK_2~~~ybdK_1,9221287,9223519,1116
N_mutS2,9223519,9236129,6305
G_mutS2,9236129,9237227,549
N_group_34326,9237227,9245539,4156
G_group_34326,9245539,9247423,942
N_group_34315,9247423,9257491,5034
G_group_34315,9257491,9258139,324
G_group_34202,9258139,9261355,1608
N_yjjV~~~yjjV_1~~~yjjV_2~~~dtd3,9261355,9261605,125
G_yjjV~~~yjjV_1~~~yjjV_2~~~dtd3,9261605,9263165,780
N_recQ_2~~~recQ_1~~~recQ_3~~~recQ,9263165,9263731,283
G_recQ_2~~~recQ_1~~~recQ_3~~~recQ,9263731,9267397,1833
G_group_34184,9267397,9268825,714
N_cca~~~cca_1~~~cca_2,9268825,9268955,65
G_cca~~~cca_1~~~cca_2,9268955,9271427,1236
N_ulaE_2~~~ulaE_3~~~ulaE_1,9271427,9271641,107
G_ulaE_2~~~ulaE_3~~~ulaE_1,9271641,9273459,909
N_group_34167,9273459,9281561,4051
G_group_34167,9281561,9282563,501
N_cutC_2~~~cutC_1~~~cutC_3,9282563,9282591,14
G_cutC_2~~~cutC_1~~~cutC_3,9282591,9284163,786
N_soxR,9284163,9284995,416
G_soxR,9284995,9285919,462
N_rcsC~~~rcsC_3~~~rcsC_2~~~rcsC_1,9285919,9301097,7589
G_rcsC~~~rcsC_3~~~rcsC_2~~~rcsC_1,9301097,9306791,2847
N_malF~~~malF_2~~~malF_1,9306791,9307101,155
G_malF~~~malF_2~~~malF_1,9307101,9310185,1542
N_lpoA~~~lpoA_1~~~lpoA_2,9310185,9313243,1529
G_lpoA~~~lpoA_1~~~lpoA_2,9313243,9317311,2034
N_group_33998,9317311,9317527,108
G_group_33998,9317527,9321643,2058
N_rlmC~~~rlmC_2~~~rlmC_1,9321643,9321727,42
G_rlmC~~~rlmC_2~~~rlmC_1,9321727,9323977,1125
N_iolU_1~~~iolU~~~iolU_2,9323977,9324137,80
G_iolU_1~~~iolU~~~iolU_2,9324137,9326105,984
N_yjfF~~~yjfF_2~~~yjfF_1,9326105,9326135,15
G_yjfF~~~yjfF_2~~~yjfF_1,9326135,9328121,993
N_sstT~~~sstT_1~~~sstT_3~~~sstT_2,9328121,9329361,620
G_sstT~~~sstT_1~~~sstT_3~~~sstT_2,9329361,9331845,1242
N_nagZ_1~~~nagZ_2~~~nagZ,9331845,9331869,12
G_nagZ_1~~~nagZ_2~~~nagZ,9331869,9333915,1023
N_yojI_2~~~yojI~~~yojI_1,9333915,9334791,438
G_yojI_2~~~yojI~~~yojI_1,9334791,9338073,1641
N_yrdA_2~~~caiE_2~~~yrdA_3~~~yrdA_1,9338073,9353399,7663
G_yrdA_2~~~caiE_2~~~yrdA_3~~~yrdA_1,9353399,9354503,552
N_thiM~~~thiM_1~~~thiM_2,9354503,9367569,6533
G_thiM~~~thiM_1~~~thiM_2,9367569,9369141,786
N_thrB~~~thrB_1~~~thrB_2,9369141,9369145,2
G_thrB~~~thrB_1~~~thrB_2,9369145,9371005,930
N_qseC~~~qseC_1~~~qseC_2~~~qseC_3,9371005,9397427,13211
G_qseC~~~qseC_1~~~qseC_2~~~qseC_3,9397427,9400121,1347
N_gor_1~~~gor_2~~~gor,9400121,9400267,73
G_gor_1~~~gor_2~~~gor,9400267,9402967,1350
N_yejB_2~~~yejB_1~~~yejB,9402967,9402969,1
G_yejB_2~~~yejB_1~~~yejB,9402969,9405153,1092
N_pstS_2~~~pstS~~~pstS_1,9405153,9408037,1442
G_pstS_2~~~pstS~~~pstS_1,9408037,9410113,1038
G_pstC_2~~~pstA_3~~~pstA~~~pstA_2~~~pstC~~~pstA_1,9410113,9412111,999
N_rplF,9412111,9412137,13
G_rplF,9412137,9413199,531
N_norR_1~~~norR_3~~~norR_4~~~norR_2,9413199,9418465,2633
G_norR_1~~~norR_3~~~norR_4~~~norR_2,9418465,9421657,1596
N_group_33536,9421657,9425887,2115
G_group_33536,9425887,9428311,1212
N_grxB_1~~~grxB~~~grxB_2,9428311,9428445,67
G_grxB_1~~~grxB~~~grxB_2,9428445,9429777,666
N_nrdH,9429777,9430301,262
G_nrdH,9430301,9430787,243
N_ldcC_2~~~ldcC_1~~~ldcC,9430787,9430987,100
G_ldcC_2~~~ldcC_1~~~ldcC,9430987,9435271,2142
N_nhaK_2~~~nhaK~~~nhaK_1,9435271,9437129,929
G_nhaK_2~~~nhaK~~~nhaK_1,9437129,9440423,1647
G_sucD_2~~~sucD_1~~~sucD~~~sucD_3,9440423,9442157,867
N_sucB~~~sucB_1~~~sucB_2,9442157,9442189,16
G_sucB~~~sucB_1~~~sucB_2,9442189,9444619,1215
N_dppA_2~~~dppA_1~~~dppA,9444619,9449795,2588
G_dppA_2~~~dppA_1~~~dppA,9449795,9453005,1605
N_citX~~~citX_2~~~citX_1,9453005,9453013,4
G_citX~~~citX_2~~~citX_1,9453013,9454111,549
N_yehZ_1~~~yehZ~~~yehZ_2,9454111,9454659,274
G_yehZ_1~~~yehZ~~~yehZ_2,9454659,9456489,915
N_rimK~~~rimK_1~~~rimK_2,9456489,9459325,1418
G_rimK~~~rimK_1~~~rimK_2,9459325,9461125,900
N_btsR~~~btsR_2~~~btsR_1~~~cheB_1,9461125,9463345,1110
G_btsR~~~btsR_2~~~btsR_1~~~cheB_1,9463345,9464779,717
N_purU_2~~~purU~~~purU_1,9464779,9471533,3377
G_purU_2~~~purU~~~purU_1,9471533,9473213,840
N_group_32904,9473213,9486573,6680
G_group_32904,9486573,9487953,690
N_trxB~~~trxB_2~~~trxB_1,9487953,9521257,16652
G_trxB~~~trxB_2~~~trxB_1,9521257,9523393,1068
N_macB_1~~~macB~~~macB_3~~~macB_2,9523393,9525639,1123
G_macB_1~~~macB~~~macB_3~~~macB_2,9525639,9529533,1947
N_group_32891,9529533,9529881,174
G_group_32891,9529881,9530331,225
N_ybhK_2~~~ybhK~~~ybhK_1,9530331,9546669,8169
G_ybhK_2~~~ybhK~~~ybhK_1,9546669,9548481,906
N_yciO~~~yciO_1~~~yciO_2,9548481,9568959,10239
G_yciO~~~yciO_1~~~yciO_2,9568959,9570195,618
G_surE~~~surE_2~~~surE_1,9570195,9571713,759
N_bioB_2~~~bioB_1~~~bioB,9571713,9580233,4260
G_bioB_2~~~bioB_1~~~bioB,9580233,9582309,1038
N_bioA~~~bioA_2~~~bioA_1,9582309,9595563,6627
G_bioA~~~bioA_2~~~bioA_1,9595563,9598137,1287
N_group_32856,9598137,9598323,93
G_group_32856,9598323,9598863,270
N_kch~~~kch_1~~~kch_2,9598863,9600149,643
G_kch~~~kch_1~~~kch_2,9600149,9602651,1251
N_clsA_2~~~clsA_1~~~clsA,9602651,9603399,374
G_clsA_2~~~clsA_1~~~clsA,9603399,9606315,1458
N_cpoB~~~cpoB_1~~~cpoB_2,9606315,9606337,11
G_cpoB~~~cpoB_1~~~cpoB_2,9606337,9607915,789
N_dmlR_4~~~pgrR_3~~~dmlR_3~~~cysL_1~~~cysL_2~~~pgrR_1~~~pgrR_4~~~pgrR_2~~~yahB_3~~~dmlR_2,9607915,9615357,3721
G_dmlR_4~~~pgrR_3~~~dmlR_3~~~cysL_1~~~cysL_2~~~pgrR_1~~~pgrR_4~~~pgrR_2~~~yahB_3~~~dmlR_2,9615357,9617211,927
N_oppA_1~~~oppA_2~~~oppA,9617211,9618687,738
G_oppA_1~~~oppA_2~~~oppA,9618687,9622035,1674
N_group_32723,9622035,9622195,80
G_group_32723,9622195,9629791,3798
N_flgN,9629791,9629803,6
G_flgN,9629803,9630649,423
N_nuoF~~~nuoF_3~~~nuoF_2~~~nuoF_1,9630649,9630655,3
G_nuoF~~~nuoF_3~~~nuoF_2~~~nuoF_1,9630655,9633325,1335
N_nuoH_1~~~nuoH_2~~~nuoH,9633325,9633433,54
G_nuoH_1~~~nuoH_2~~~nuoH,9633433,9635383,975
N_nuoG_2~~~nuoG_1~~~nuoG,9635383,9635491,54
G_nuoG_2~~~nuoG_1~~~nuoG,9635491,9640939,2724
N_yihX~~~yihX_1~~~yihX_2,9640939,9642239,650
G_yihX~~~yihX_1~~~yihX_2,9642239,9643433,597
N_group_32691,9643433,9643451,9
G_group_32691,9643451,9645203,876
N_fucU,9645203,9645207,2
G_fucU,9645207,9646047,420
N_hdfR_3~~~hdfR_2~~~hdfR_1~~~gltC_2~~~gltC_1~~~allS_1~~~gltR_1,9646047,9653363,3658
G_hdfR_3~~~hdfR_2~~~hdfR_1~~~gltC_2~~~gltC_1~~~allS_1~~~gltR_1,9653363,9655235,936
N_cysH~~~cysH_2~~~cysH_1~~~cysH_3,9655235,9655387,76
G_cysH~~~cysH_2~~~cysH_1~~~cysH_3,9655387,9656851,732
G_nuoJ~~~ndhE~~~nuoK~~~nuoK_1,9656851,9658171,660
N_nfi_2~~~nfi~~~nfi_1,9658171,9658487,158
G_nfi_2~~~nfi~~~nfi_1,9658487,9659825,669
N_group_32512,9659825,9662759,1467
G_group_32512,9662759,9663551,396
N_group_32511,9663551,9665663,1056
G_group_32511,9665663,9667145,741
N_sohB~~~sohB_2~~~sohB_1,9667145,9670573,1714
G_sohB~~~sohB_2~~~sohB_1,9670573,9672679,1053
G_prmC~~~prmC_1~~~prmC_2,9672679,9674341,831
N_group_32441,9674341,9677979,1819
G_group_32441,9677979,9678891,456
N_yhaJ_1~~~yahB_2~~~yahB_3~~~yahB_1,9678891,9684679,2894
G_yhaJ_1~~~yahB_2~~~yahB_3~~~yahB_1,9684679,9686539,930
N_group_32421,9686539,9686763,112
G_group_32421,9686763,9687051,144
N_msrB~~~msrB_1~~~msrB_2,9687051,9694645,3797
G_msrB~~~msrB_1~~~msrB_2,9694645,9695569,462
N_acrB_4~~~mdtB_1~~~acrB_2~~~acrB_3~~~mexB_2~~~mexB~~~ttgE~~~acrB_1~~~mdtF_2~~~acrF_1~~~mdtF_1~~~acrB_5,9695569,9695899,165
G_acrB_4~~~mdtB_1~~~acrB_2~~~acrB_3~~~mexB_2~~~mexB~~~ttgE~~~acrB_1~~~mdtF_2~~~acrF_1~~~mdtF_1~~~acrB_5,9695899,9702121,3111
N_rplX,9702121,9702145,12
G_rplX,9702145,9702769,312
N_yfeZ~~~yfeZ_2~~~yfeZ_1,9702769,9706755,1993
G_yfeZ~~~yfeZ_2~~~yfeZ_1,9706755,9707685,465
N_dsbG~~~dsbG_1~~~dsbG_2,9707685,9715601,3958
G_dsbG~~~dsbG_1~~~dsbG_2,9715601,9717209,804
N_ybcI,9717209,9717469,130
G_ybcI,9717469,9718507,519
N_pstB,9718507,9720469,981
G_pstB,9720469,9722011,771
N_dapF_1~~~dapF_2~~~dapF,9722011,9722087,38
G_dapF_1~~~dapF_2~~~dapF,9722087,9723731,822
N_menH~~~menH_1~~~menH_2,9723731,9726657,1463
G_menH~~~menH_1~~~menH_2,9726657,9728169,756
N_group_32270,9728169,9728431,131
G_group_32270,9728431,9729121,345
N_dkgA~~~dkgA_2~~~dkgA_1,9729121,9729333,106
G_dkgA~~~dkgA_2~~~dkgA_1,9729333,9730983,825
N_pncC_1~~~pncC_2~~~cinA,9730983,9731907,462
G_pncC_1~~~pncC_2~~~cinA,9731907,9732897,495
N_recX,9732897,9733385,244
G_recX,9733385,9734381,498
N_apbC~~~apbC_2~~~apbC_1,9734381,9784989,25304
G_apbC~~~apbC_2~~~apbC_1,9784989,9787203,1107
N_proC_2~~~proC_1~~~proC,9787203,9798843,5820
G_proC_2~~~proC_1~~~proC,9798843,9800457,807
N_fucI_1~~~fucI_2~~~fucI,9800457,9817931,8737
G_fucI_1~~~fucI_2~~~fucI,9817931,9821477,1773
N_malE_1~~~malE~~~malE_2,9821477,9836731,7627
G_malE_1~~~malE~~~malE_2,9836731,9839125,1197
N_fabR~~~fabR_1,9839125,9842515,1695
G_fabR~~~fabR_1,9842515,9843919,702
N_ulaA~~~ulaA_2~~~ulaA_3~~~ulaA_1,9843919,9848479,2280
G_ulaA~~~ulaA_2~~~ulaA_3~~~ulaA_1,9848479,9851275,1398
N_glnA~~~glnA_2~~~glnA_1,9851275,9867851,8288
G_glnA~~~glnA_2~~~glnA_1,9867851,9870791,1470
N_eco~~~eco_2~~~eco_1,9870791,9871063,136
G_eco~~~eco_2~~~eco_1,9871063,9872035,486
N_cra~~~cra_2~~~cra_1~~~purR_2,9872035,9872397,181
G_cra~~~cra_2~~~cra_1~~~purR_2,9872397,9874401,1002
N_kdpD_1~~~kdpD_2~~~kdpD,9874401,9874523,61
G_kdpD_1~~~kdpD_2~~~kdpD,9874523,9879929,2703
N_maeB_1~~~maeB~~~maeB_2,9879929,9886937,3504
G_maeB_1~~~maeB~~~maeB_2,9886937,9891491,2277
G_recD~~~recB_3~~~recB~~~recD_2~~~recD_1,9891491,9898787,3648
N_group_31950,9898787,9912365,6789
G_group_31950,9912365,9912881,258
N_tonB,9912881,9921927,4523
G_tonB,9921927,9923547,810
N_group_31818,9923547,9923619,36
G_group_31818,9923619,9924273,327
N_cydX,9924273,9924303,15
G_cydX,9924303,9924525,111
N_ybgC,9924525,9924827,151
